tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2003-11-06,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,2003,17,SEDAN 5 PUERTAS,37,RENAULT,LK,CLIO2 F2 RT DIE PRIVILEGE,1,Privado,Física,EL PALOMAR,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2007-06-08,1005,AVELLANEDA Nº 2,Buenos Aires,Nacional,2007,18,SEDAN 3 PTAS,08,CHEVROLET,BF,CORSA CLASSIC 3P AA+DIR 1.6N,1,Privado,Física,PIÑEYRO,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1995-10-09,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Nacional,1995,12,SEDAN 4 PUERTAS,34,PEUGEOT,03,504 XS TF,1,Privado,Física,GOBERNADOR COSTA,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-06-24,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Protocolo 21,2009,22,SEDAN 3 PTAS,047,FORD,815,KA FLY VIRAL 1.0L,1,Privado,Física,CEBALLOS,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2002-03-21,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2002,20,PICK-UP,19,FORD,PH,RANGER XLT C/C 4X2 2.8 LD,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1998,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1999-11-18,1044,LA PLATA Nº 02,Buenos Aires,Nacional,1999,12,SEDAN 4 PUERTAS,17,FIAT,11,DUNA SD,1,Privado,Física,SAN LORENZO,BUENOS AIRES,No identificado,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-01-13,1052,LOBOS,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,34,PEUGEOT,HB,307 XS PREMIUM 2.0 HDI 5P 110 CV,1,Privado,Física,LOBOS,BUENOS AIRES,Femenino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1995-10-25,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Nacional,1995,11,SEDAN 2 PTAS,17,FIAT,50,SPAZIO TR,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1964,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-12-09,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PUERTAS,044,FIAT,725,UNO 1.4 8V,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1998-09-03,1059,MAR DEL PLATA Nº 02,Buenos Aires,Nacional,1998,18,BERLINA 3 PUERTAS,37,RENAULT,DQ,CLIO RL DIESEL 3P AA/DA,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2016-05-03,1065,MORON Nº 02,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,047,FORD,A86,KA S 1.5L,1,Privado,Física,MORÓN,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2011-07-05,1065,MORON Nº 02,Buenos Aires,Importado,2011,05,SEDAN 5 PUERTAS,047,FORD,908,FIESTA KINETIC DESIGN TITANIUM,1,Privado,Física,MORON,BUENOS AIRES,No identificado,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2014-04-14,1077,QUILMES Nº 1,Buenos Aires,Protocolo 21,2014,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,495,GOL TREND 1.6 GP,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-08-01,1088,SAN MARTIN Nº 1,Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,34,PEUGEOT,LB,408 ALLURE HDI,1,Privado,Física,SAN ANDRÉS,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-05-13,1088,SAN MARTIN Nº 1,Buenos Aires,Importado,2013,05,SEDAN 5 PUERTAS,044,FIAT,760,QUBO 1.4 8V ACTIVE,1,Privado,Física,VILLA BALLESTER,BUENOS AIRES,Femenino,1952,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2017-06-05,1089,SAN MARTIN Nº 2,Buenos Aires,Protocolo 21,2017,82,PICK-UP CABINA DOBLE,044,FIAT,845,TORO VOLCANO 2.0 16V 4X4,1,Privado,Física,VILLA BALLESTER,BUENOS AIRES,Masculino,1987,ECUADOR,100,06,210
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2008-01-10,1103,ZARATE Nº 1,Buenos Aires,Protocolo 21,2008,05,SEDAN 5 PTAS,047,FORD,722,FIESTA AMBIENTE MP3,1,Privado,Física,ZARATE,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1994-03-24,1106,LA MATANZA Nº 02,Buenos Aires,Nacional,1994,12,SEDAN 4 PTAS,37,RENAULT,80,RENAULT 9 GTL,1,Privado,Física,RAMOS MEJIA-LA MATANZA,BUENOS AIRES,No identificado,1951,No identificado,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-07-30,1106,LA MATANZA Nº 02,Buenos Aires,Protocolo 21,2013,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,RAMOS MEJIA,BUENOS AIRES,No identificado,1949,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2000-01-14,1113,SAN VICENTE,Buenos Aires,Nacional,2000,22,FURGON,53,VOLKSWAGEN,01,CADDY 1.9 SD 992,1,Privado,Física,A.KORN,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2012-02-06,1117,TRES DE FEBRERO Nº 2,Buenos Aires,Importado,2012,10,TODO TERRENO,136,VOLKSWAGEN,449,TIGUAN 2.0 TSI 4 MOTION,1,Privado,Física,CIUDAD JARDIN LOMAS DEL PALOMAR,BUENOS AIRES,Femenino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2008-01-29,1117,TRES DE FEBRERO Nº 2,Buenos Aires,Protocolo 21,2008,05,SEDAN 5 PTAS,044,FIAT,592,UNO FIRE 1242 MPI 8V,1,Privado,Física,MARTÍN_CORONADO,BUENOS AIRES,Masculino,1984,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2017-02-10,1119,MORON Nº 03,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,80,HONDA,11,HR-V EXL CVT,1,Privado,Física,HAEDO,BUENOS AIRES,No identificado,1975,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-08-08,1119,MORON Nº 03,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,495,GOL TREND 1.6 GP,1,Privado,Física,HAEDO,BUENOS AIRES,No identificado,1971,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2012-03-14,1119,MORON Nº 03,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,EL PALOMAR,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-12-11,1119,MORON Nº 03,Buenos Aires,Nacional,2013,26,CHASIS CON CABINA,67,IVECO,20,170E22,1,Privado,Física,EL PALOMAR,BUENOS AIRES,No identificado,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2011-09-06,1131,CAPILLA DEL SEÑOR,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,024,CHEVROLET,535,CLASSIC 1.4 N LT,1,Privado,Física,CAPILLA DEL SEÑOR,BUENOS AIRES,Femenino,1960,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2006-10-05,1133,SAN MIGUEL Nº 3,Buenos Aires,Nacional,2006,18,SEDAN 3 PUERTAS,08,CHEVROLET,BF,CORSA CLASSIC 3P AA+DIR 1.6N,1,Privado,Física,BELLA VISTA,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2007-05-21,1133,SAN MIGUEL Nº 3,Buenos Aires,Nacional,2007,17,SEDAN 5 PTAS,53,VOLKSWAGEN,KP,SURAN 60B,1,Privado,Física,BELLA VISTA,BUENOS AIRES,Masculino,1994,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2004-10-29,1134,LANUS Nº 3,Buenos Aires,Protocolo 21,2004,05,SEDAN 5 PUERTAS,112,RENAULT,518,CLIO AUTENTIQUE 1.2 16V,1,Privado,Física,LANUS,BUENOS AIRES,No identificado,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2011-03-23,1144,QUILMES Nº 3,Buenos Aires,Importado,2011,05,SEDAN 5 PTAS,058,HYUNDAI,288,I 10 1.2,1,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1997-07-18,1152,LA MATANZA Nº 04,Buenos Aires,Protocolo 21,1997,05,SEDAN 5 PTAS,047,FORD,001,FIESTA CLX,1,Privado,Física,LA TABLADA,BUENOS AIRES,No identificado,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1994-08-12,1152,LA MATANZA Nº 04,Buenos Aires,Nacional,1994,12,SEDAN 4 PTAS,53,VOLKSWAGEN,10,VW SENDA DIESEL,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,Masculino,1934,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2022-08-23,1154,LA MATANZA Nº 06,Buenos Aires,Protocolo 21,2022,05,SEDAN 5 PUERTAS,130,TOYOTA,B30,ETIOS XLS PACK 1.5 6M/T,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Femenino,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2022-04-04,1154,LA MATANZA Nº 06,Buenos Aires,Nacional,2022,20,PICK-UP,53,VOLKSWAGEN,8R,AMAROK HIGHLINE 4X2 AUT 2.0L TDI 180 CV,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Femenino,1998,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2014-09-16,1156,HURLINGHAM Nº 1 (EX. MORON Nº 4),Buenos Aires,Importado,2014,05,SEDAN 5 PUERTAS,047,FORD,A34,FIESTA 1.6L TITANIUM,1,Privado,Física,HURLINGHAM,BUENOS AIRES,Masculino,1991,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-07-29,1156,HURLINGHAM Nº 1 (EX. MORON Nº 4),Buenos Aires,Importado,2009,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,285,BORA 2.0,1,Privado,Física,HURLINGHAM,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1998-05-12,1156,HURLINGHAM Nº 1 (EX. MORON Nº 4),Buenos Aires,Protocolo 21,1998,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,202,GOL GL 1.6 MI,1,Privado,Física,WILLIAM C MORRIS,BUENOS AIRES,Masculino,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2016-05-06,1157,MORON Nº 05,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,538,FOX 1.6 MSI,1,Privado,Física,HAEDO,BUENOS AIRES,Femenino,1978,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2007-12-27,1158,TRES DE FEBRERO Nº 3,Buenos Aires,Protocolo 21,2007,05,SEDAN 5 PTAS,136,VOLKSWAGEN,283,GOL 1.9 SD,1,Privado,Física,CIUDADELA,BUENOS AIRES,No identificado,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2012-04-23,1158,TRES DE FEBRERO Nº 3,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,34,PEUGEOT,KV,207 COMPACT XT HDI 1.4 5P,1,Privado,Física,CIUDADELA,BUENOS AIRES,No identificado,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2023-01-31,1160,SAN MARTIN Nº 4,Buenos Aires,Protocolo 21,2023,02,SEDAN 4 PUERTAS,024,CHEVROLET,759,ONIX PLUS 1.4 MT JOY BLACK,1,Privado,Física,VILLA BALLESTER,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2002-10-02,1160,SAN MARTIN Nº 4,Buenos Aires,Protocolo 21,2002,22,SEDAN 3 PTAS,044,FIAT,487,UNO S 1.3,1,Privado,Física,JOSE LEON SUAREZ,BUENOS AIRES,Femenino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2016-09-19,1161,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Nacional,2016,17,SEDAN 5 PUERTAS,34,PEUGEOT,NK,308 ALLURE 1.6 HDI,1,Privado,Física,LUIS GUILLON,BUENOS AIRES,Masculino,1958,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-04-16,1161,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Protocolo 21,2009,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,2003,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1996-08-02,1168,MORON Nº 06,Buenos Aires,Protocolo 21,1996,,SEDAN 3 PTAS,,CHEVROLET,,CORSA GL 1.6 MPFI-1996,1,Privado,Física,EL PALOMAR,BUENOS AIRES,No identificado,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2004-12-16,1171,ESCOBAR Nº 1,Buenos Aires,Protocolo 21,2004,05,SEDAN 5 PTAS,044,FIAT,587,PALIO FIRE 1242 MPI 16V,1,Privado,Física,ESCOBAR,BUENOS AIRES,Masculino,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1997-04-08,1171,ESCOBAR Nº 1,Buenos Aires,Protocolo 21,1997,17,CHASIS C/CABINA,047,FORD,031,F-14.000 H.D.,1,Privado,Física,BELEN DE ESCOBAR,BUENOS AIRES,No identificado,1962,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-06-05,1173,BERAZATEGUI Nº 2,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,37,RENAULT,UG,CLIO 5 PTAS PACK PLUS,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2018-08-22,1174,LA MATANZA Nº 07,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,044,FIAT,866,ARGO DRIVE 1.3,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2015-07-15,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Importado,2015,02,SEDAN 4 PUERTAS,047,FORD,A41,FIESTA 1.6L S,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Femenino,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2018-08-13,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,130,TOYOTA,911,ETIOS XLS 1.5 4A/T,1,Privado,Física,TURDERA,BUENOS AIRES,Femenino,1970,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2011-03-22,1178,LA MATANZA Nº 08,Buenos Aires,Nacional,2011,17,SEDAN 5 PUERTAS,08,CHEVROLET,CT,AGILE 5P 1.4 LTZ,1,Privado,Física,VIRREY DEL PINO,BUENOS AIRES,Masculino,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1995-04-27,1186,MORENO Nº 2,Buenos Aires,Protocolo 21,1995,22,SEDAN 3 PUERTAS,024,CHEVROLET,008,CORSA GL 1.4 E.F.I.,1,Privado,Física,MORENO,BUENOS AIRES,No identificado,1998,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2010-06-03,1189,FLORENCIO VARELA Nº 2,Buenos Aires,Protocolo 21,2010,04,RURAL 5 PTAS,047,FORD,597,ECOSPORT 1.6 L 4X2 XL PLUS,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Femenino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2017-12-18,1190,ZARATE Nº 2,Buenos Aires,Protocolo 21,2017,05,SEDAN 5 PUERTAS,024,CHEVROLET,701,ONIX JOY 5P 1.4 N LS MT +,1,Privado,Física,ZARATE,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2008-06-10,1192,MORON Nº 07,Buenos Aires,Importado,2008,02,SEDAN 4 PTAS,136,VOLKSWAGEN,369,VENTO 2.0TDI,1,Privado,Física,CASTELAR,BUENOS AIRES,No identificado,1997,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2010-10-15,1192,MORON Nº 07,Buenos Aires,Importado,2010,05,SEDAN 5 PTAS,058,HYUNDAI,288,I 10 1.2,1,Privado,Física,CASTELAR,BUENOS AIRES,No identificado,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2012-08-21,1193,LUJAN Nº 2,Buenos Aires,Protocolo 21,2012,04,RURAL 5 PTAS,G89,CHERY,001,TIGGO 2.0 COMFORT,1,Privado,Física,LUJÁN,BUENOS AIRES,Femenino,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1993-01-04,1193,LUJAN Nº 2,Buenos Aires,Nacional,1993,12,SEDAN 4 PTAS,34,PEUGEOT,06,504 SRDTFA,1,Privado,Física,TORRES,BUENOS AIRES,Masculino,1956,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2005-01-26,1193,LUJAN Nº 2,Buenos Aires,Protocolo 21,2005,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,LUJAN,BUENOS AIRES,Femenino,1981,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2006-07-17,1195,TIGRE Nº 3,Buenos Aires,Importado,2006,10,TODO TERRENO,072,KIA,163,SORENTO EX TD,1,Privado,Física,TIGRE,BUENOS AIRES,Masculino,1971,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2014-07-23,1196,LA PLATA Nº 08,Buenos Aires,Protocolo 21,2014,04,RURAL 5 PUERTAS,027,CITROEN,307,C3 AIRCROSS 1.6 VTI 115 EXC. P.,1,Privado,Física,SAN CARLOS,BUENOS AIRES,Femenino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2007-01-10,1201,MAR DEL PLATA Nº 08,Buenos Aires,Nacional,2007,12,SEDAN 4 PTAS,08,CHEVROLET,BD,CORSA CLASSIC 4P SUPER 1.6N,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,No identificado,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,1997-05-16,1202,MAR DEL PLATA Nº 09,Buenos Aires,Protocolo 21,1997,05,SEDAN 5 PUERTAS,047,FORD,001,FIESTA CLX,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,2001,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2018-03-02,1211,QUILMES Nº 6,Buenos Aires,Nacional,2018,17,SEDAN 5 PUERTAS,53,VOLKSWAGEN,XH,SURAN 1.6 5D 060,1,Privado,Física,SAN FRANCISCO SOLANO,BUENOS AIRES,Femenino,1950,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2007-01-05,1211,QUILMES Nº 6,Buenos Aires,Nacional,2007,12,SEDAN 4 PTAS,08,CHEVROLET,BD,CORSA CLASSIC 4P SUPER 1.6N,1,Privado,Física,SAN FRANCISCO SOLANO,BUENOS AIRES,Masculino,1978,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2021-07-26,1214,ITUZAINGO Nº 1 (EX. MORON Nº 8),Buenos Aires,Nacional,2021,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1,Privado,Física,ITUZAINGÓ,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-09-21,1218,MORON Nº 04 (EX. MORON Nº 9),Buenos Aires,Protocolo 21,2009,05,SEDAN 5 PTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2017-07-24,1218,MORON Nº 04 (EX. MORON Nº 9),Buenos Aires,Protocolo 21,2017,05,SEDAN 5 PUERTAS,130,TOYOTA,909,ETIOS XS 1.5 6M/T,1,Privado,Física,CASTELAR,BUENOS AIRES,Femenino,1959,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2010-02-04,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,2010,17,SEDAN 5 PTAS,19,FORD,VL,FOCUS ONE AMBIENTE 5P 1.6L N,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2015-10-23,1226,LA MATANZA Nº 09,Buenos Aires,Protocolo 21,2015,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2008-12-17,1226,LA MATANZA Nº 09,Buenos Aires,Protocolo 21,2008,04,RURAL 5 PTAS,104,PEUGEOT,532,206 SW XS PREMIUM 1.6,1,Privado,Física,VIRREY DEL PINO,BUENOS AIRES,Masculino,1989,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2013-07-26,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,2013,,FURGON,37,RENAULT,VD,KANGOO CONFORT 1.6 5A CD DA CA SVT,1,Privado,Física,G. CATAN,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2006-05-23,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,2006,12,SEDAN 4 PTAS,37,RENAULT,RA,KANGOO AUTHENTIQUE 1.9 1PL,1,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Femenino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2009-06-12,1227,LA MATANZA Nº 10,Buenos Aires,Protocolo 21,2009,02,SEDAN 4 PTAS,136,VOLKSWAGEN,426,VOYAGE 1.6,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,No identificado,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2008-01-29,1227,LA MATANZA Nº 10,Buenos Aires,Protocolo 21,2008,02,SEDAN 4 PTAS,044,FIAT,659,SIENA 1.4 FIRE,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-02-01,2012-08-21,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,53,VOLKSWAGEN,TD,SURAN 1.6L 5D 700,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Femenino,1970,ARGENTINA,100,06,200
